Key,0
Item Type,0
Publication Year,9
Author,3
Title,0
Publication Title,517
ISBN,3348
ISSN,3025
DOI,2933
Url,2997
Abstract Note,3179
Date,9
Date Added,0
Date Modified,0
Access Date,3068
Pages,440
Num Pages,3221
Issue,1586
Volume,823
Number Of Volumes,3343
Journal Abbreviation,3346
Short Title,3346
Series,3177
Series Number,3298
Series Text,3353
Series Title,3336
Publisher,3083
Place,3040
Language,234
Rights,3330
Type,3093
Archive,1848
Archive Location,3353
Library Catalog,3079
Call Number,3352
Extra,3341
Notes,3353
File Attachments,3353
Link Attachments,3353
Manual Tags,2918
Automatic Tags,3353
Editor,3338
Series Editor,3353
Translator,3353
Contributor,3353
Attorney Agent,3353
Book Author,3353
Cast Member,3353
Commenter,3353
Composer,3353
Cosponsor,3353
Counsel,3353
Interviewer,3353
Producer,3353
Recipient,3353
Reviewed Author,3352
Scriptwriter,3353
Words By,3353
Guest,3353
Number,3159
Edition,3329
Running Time,3353
Scale,3353
Medium,3353
Artwork Size,3353
Filing Date,3353
Application Number,3353
Assignee,3353
Issuing Authority,3353
Country,3353
Meeting Name,3353
Conference Name,3353
Court,3353
References,3353
Reporter,3353
Legal Status,3353
Priority Numbers,3353
Programming Language,3353
Version,3353
System,3353
Code,3353
Code Number,3353
Section,3353
Session,3353
Committee,3353
History,3353
Legislative Body,3353
